county,pop_without_access,percent_total_pop,pop_density,per_capita_income,urban_pop_without_access,percent_urban_pop,urban_pop_density,rural_pop_without_access,percent_rural_pop,rural_pop_density
Toa Baja Municipio,"5,734",19%,"1,300.86","$11,736 ","5,020",17%,"1,409.53",714,95%,322.733
Trujillo Alto Municipio,"3,790",12%,"1,461.70","$15,182 ","3,790",12%,"1,461.70",.,.,.
Utuado Municipio,"18,317",17%,951.401,"$7,642 ","3,552",4%,"6,691.18","14,765",92%,160.894
Vega Alta Municipio,"9,863",30%,"1,167.70","$10,072 ","7,787",26%,"1,276.06","2,076",94%,541.772
Vega Baja Municipio,"34,643",65%,"1,159.34","$9,145 ","24,601",58%,"1,502.82","10,042",92%,615.914
Vieques Municipio,"18,397",100%,362.374,"$8,611 ","8,342",100%,"1,607.68","10,055",100%,220.605
Villalba Municipio,"60,911",93%,"1,846.27","$8,271 ","39,238",89%,"2,906.07","21,673",100%,"1,059.82"
Yabucoa Municipio,"27,252",79%,625.921,"$7,864 ","20,101",75%,"1,112.99","7,151",91%,252.165
Yauco Municipio,"74,750",90%,"1,214.81","$7,858 ","23,303",74%,"1,952.16","51,447",100%,988.101
Rhode Island,"17,996",2%,"1,015.87",.,"15,757",2%,"2,377.94","2,239",2%,154.028
Bristol County,15,0%,"2,052.92","$38,312 ",15,0%,"2,300.73",.,.,192.247
Kent County,"2,533",2%,977.685,"$34,110 ","2,499",2%,"2,096.35",34,0%,139.532
Newport County,"3,519",4%,799.641,"$41,326 ","3,114",4%,"1,579.98",405,4%,174.834
Providence County,"8,159",1%,"1,528.71","$26,690 ","7,932",1%,"3,360.71",227,1%,147.341
Washington County,"3,770",3%,388.683,"$36,805 ","2,197",2%,"1,037.44","1,573",4%,160.866
South Carolina,"852,483",18%,161.982,.,"247,842",8%,"1,385.08","604,641",38%,56.741
Abbeville County,"2,562",11%,48.383,"$18,303 ",133,3%,"1,080.29","2,429",13%,38.483
Aiken County,"19,316",12%,154.189,"$25,093 ","1,932",2%,"1,213.36","17,384",29%,61.861
Allendale County,"9,076",100%,22.24,"$12,277 ","2,936",100%,"1,278.29","6,140",100%,15.131
Anderson County,"10,300",5%,272.678,"$22,216 ","2,631",2%,962.348,"7,669",10%,126.15
Bamberg County,"14,224",100%,36.205,"$19,136 ","6,598",100%,"1,201.18","7,626",100%,19.662
Barnwell County,"18,498",87%,38.837,"$18,695 ","3,718",100%,"1,027.07","14,780",84%,32.27
Beaufort County,"64,391",36%,313.639,"$32,290 ","50,387",34%,"1,201.77","14,004",41%,74.442
Berkeley County,"21,688",11%,182.71,"$24,474 ","5,924",4%,"2,281.30","15,764",28%,53.479
Calhoun County,"3,479",25%,36.261,"$23,042 ",.,.,.,"3,479",25%,36.261
Charleston County,"20,944",6%,398.32,"$31,198 ","12,826",4%,"1,844.93","8,118",21%,51.428
Cherokee County,"5,891",11%,139.281,"$19,185 ",.,.,"1,093.47","5,891",18%,89.585
Chester County,"28,153",91%,53.557,"$18,433 ","8,563",100%,"1,237.61","19,590",87%,39.278
Chesterfield County,"28,682",65%,55.254,"$17,317 ","3,888",34%,"1,001.59","24,794",76%,41.541
Clarendon County,"13,665",40%,56.825,"$17,517 ",.,.,"1,209.41","13,665",46%,49.092
Colleton County,"19,154",51%,35.219,"$18,517 ",70,1%,"1,038.98","19,084",67%,27.008
Darlington County,"9,228",14%,118.007,"$19,800 ",.,.,"1,098.16","9,228",24%,71.582
Dillon County,"6,679",22%,74.27,"$15,010 ",.,.,"1,248.05","6,679",32%,53.12
Dorchester County,"14,351",9%,276.779,"$24,633 ",2,0%,"2,475.31","14,349",50%,55.5
Edgefield County,"14,895",56%,53.453,"$20,809 ","4,582",63%,"1,089.36","10,313",53%,39.429
Fairfield County,"22,223",99%,32.721,"$20,993 ","4,538",99%,"1,177.03","17,685",99%,26.181
Florence County,"15,743",11%,173.512,"$22,522 ",.,.,"1,329.42","15,743",30%,71.203
Georgetown County,"6,565",11%,74.412,"$24,483 ",.,.,"1,097.21","6,565",27%,31.54
Greenville County,"4,679",1%,631.512,"$27,097 ",.,.,"1,613.56","4,679",8%,119.718
Greenwood County,"66,002",94%,153.71,"$21,050 ","40,556",95%,"1,222.52","25,446",93%,65.036
Hampton County,"11,670",59%,35.074,"$19,849 ",297,7%,752.824,"11,373",74%,27.795
Horry County,"1,747",1%,270.374,"$23,693 ",100,0%,"1,396.30","1,647",2%,91.914
Jasper County,"24,829",95%,39.926,"$17,606 ","8,350",94%,"1,055.73","16,479",95%,26.763
Kershaw County,"35,653",55%,89.472,"$21,851 ","13,014",47%,899.771,"22,639",61%,53.277
Lancaster County,"8,487",10%,151.819,"$21,943 ",53,0%,"1,139.44","8,434",21%,79.303
Laurens County,"15,048",23%,89.717,"$19,953 ",44,0%,"1,218.94","15,004",36%,59.446
Lee County,"9,414",54%,42.869,"$15,095 ",.,.,"2,298.26","9,414",77%,30.129
Lexington County,"28,971",10%,409.493,"$27,026 ",696,0%,"1,176.29","28,275",39%,139.538
McCormick County,"4,089",43%,26.464,"$21,730 ",.,.,.,"4,089",43%,26.464
Marion County,"8,715",29%,61.519,"$16,743 ",.,.,"1,414.97","8,715",48%,38.012
Marlboro County,"27,101",99%,56.926,"$14,925 ","12,672",100%,"1,511.56","14,429",99%,31.051
Newberry County,"14,129",39%,57.855,"$22,073 ",772,7%,"1,272.95","13,357",54%,39.979
Oconee County,"62,036",82%,120.793,"$24,321 ","25,320",96%,798.528,"36,716",75%,82.879
Orangeburg County,"37,356",43%,79.024,"$17,645 ",.,.,"1,023.92","37,356",68%,51.162
Pickens County,"40,680",33%,246.354,"$21,090 ","32,063",41%,"1,105.34","8,617",20%,101.817
Richland County,"10,322",3%,540.881,"$25,920 ",.,.,"1,931.29","10,322",29%,62.623
Saluda County,"16,579",90%,40.907,"$19,601 ","3,511",92%,"1,561.12","13,068",89%,32.645
Spartanburg County,"11,858",4%,371.122,"$22,330 ",245,0%,"1,004.35","11,613",14%,137.176
Sumter County,"8,363",8%,157.177,"$20,395 ",.,.,"1,092.91","8,363",26%,54.628
Union County,"4,106",15%,52.224,"$19,253 ",.,.,"1,008.31","4,106",24%,34.605
Williamsburg County,"14,860",47%,33.79,"$15,933 ",8,0%,"1,044.68","14,852",58%,27.58
York County,"16,082",6%,384.289,"$26,875 ","1,413",1%,"1,393.75","14,669",25%,109.122
South Dakota,"92,406",11%,11.107,.,"9,962",2%,"2,299.50","82,444",26%,4.256
Aurora County,261,12%,2.985,"$24,074 ",.,.,.,261,12%,2.985
Beadle County,"2,634",16%,12.846,"$24,265 ",446,4%,"1,734.99","2,188",59%,2.949
Bennett County,78,3%,2.527,"$16,032 ",.,.,.,78,3%,2.527
Bon Homme County,"1,971",32%,10.777,"$21,983 ",.,.,.,"1,971",32%,10.777
Brookings County,"1,313",4%,43.264,"$24,694 ",.,.,"2,677.91","1,313",15%,11.345
Brown County,.,.,21.889,"$27,958 ",.,.,"2,178.02",.,.,5.73
Brule County,747,15%,6.099,"$22,083 ",.,.,.,747,15%,6.099
Buffalo County,"1,539",79%,4.118,"$11,719 ",.,.,.,"1,539",79%,4.118
Butte County,"3,653",33%,4.918,"$22,459 ",188,3%,"2,262.85","3,465",68%,2.262
Campbell County,216,23%,1.259,"$31,665 ",.,.,.,216,23%,1.259
Charles Mix County,"5,417",69%,7.165,"$19,901 ",.,.,.,"5,417",69%,7.165
Clark County,"1,238",43%,3.003,"$28,434 ",.,.,.,"1,238",43%,3.003
Clay County,"3,086",22%,33.424,"$21,044 ","1,404",13%,"3,180.49","1,682",60%,6.814
Codington County,"4,320",15%,41.466,"$25,624 ",45,0%,"1,708.57","4,275",75%,8.458
Corson County,589,17%,1.432,"$15,854 ",.,.,.,589,17%,1.432
Custer County,"2,126",27%,5.128,"$28,855 ",.,.,.,"2,126",27%,5.128
Davison County,"1,762",9%,45.666,"$25,544 ",16,0%,"2,298.75","1,746",42%,9.769
Day County,456,11%,4.193,"$23,651 ",.,.,.,456,11%,4.193
Deuel County,769,22%,5.5,"$28,810 ",.,.,.,769,22%,5.5
Dewey County,"4,656",99%,2.045,"$15,404 ","1,862",100%,"2,735.85","2,794",98%,1.236
Douglas County,.,.,4.685,"$27,978 ",.,.,.,.,.,4.685
Edmunds County,235,7%,3.172,"$27,271 ",.,.,.,235,7%,3.172
Fall River County,.,.,3.649,"$25,191 ",.,.,"1,558.73",.,.,1.761
Faulk County,32,2%,1.886,"$25,494 ",.,.,.,32,2%,1.886
Grant County,"2,320",37%,9.213,"$26,219 ",.,.,"1,513.69","2,320",75%,4.581
Gregory County,4,0%,3.251,"$23,879 ",.,.,.,4,0%,3.251
Haakon County,16,1%,0.858,"$24,265 ",.,.,.,16,1%,0.858
Hamlin County,"3,262",58%,11.044,"$25,861 ",.,.,.,"3,262",58%,11.044
Hand County,719,25%,2.007,"$27,345 ",.,.,.,719,25%,2.007
Hanson County,678,25%,6.297,"$23,460 ",.,.,.,678,25%,6.297
Harding County,826,88%,0.353,"$23,472 ",.,.,.,826,88%,0.353
Hughes County,"1,613",9%,23.79,"$29,501 ",60,0%,"1,408.02","1,553",36%,5.875
Hutchinson County,11,0%,7.264,"$26,093 ",.,.,.,11,0%,7.264
Hyde County,.,.,0.958,"$27,010 ",.,.,.,.,.,0.958
Jackson County,.,.,1.423,"$19,333 ",.,.,.,.,.,1.423
Jerauld County,.,.,2.717,"$28,985 ",.,.,.,.,.,2.717
Jones County,4,1%,0.688,"$26,504 ",.,.,.,4,1%,0.688
Kingsbury County,"1,713",38%,5.347,"$28,092 ",.,.,.,"1,713",38%,5.347
Lake County,"1,678",14%,20.642,"$28,245 ",86,1%,"2,377.47","1,592",33%,8.727
Lawrence County,"3,360",13%,32.989,"$28,120 ",152,1%,"2,041.53","3,208",33%,12.107
Lincoln County,"4,368",8%,98.756,"$34,624 ",932,2%,"2,889.06","3,436",25%,24.391
Lyman County,809,25%,1.999,"$20,923 ",.,.,.,809,25%,1.999
McCook County,73,2%,8.088,"$27,830 ",.,.,.,73,2%,8.088
McPherson County,611,32%,1.657,"$22,515 ",.,.,.,611,32%,1.657
Marshall County,778,20%,4.603,"$26,460 ",.,.,.,778,20%,4.603
Meade County,"3,589",14%,7.398,"$27,114 ",490,3%,"1,520.47","3,099",32%,2.779
Mellette County,.,.,1.228,"$14,882 ",.,.,.,.,.,1.228
Miner County,.,.,3.2,"$31,017 ",.,.,.,.,.,3.2
Minnehaha County,"3,350",2%,240.797,"$27,143 ",672,0%,"2,922.64","2,678",11%,33.56
Moody County,"1,702",31%,10.651,"$26,995 ",.,.,.,"1,702",31%,10.651
Pennington County,"6,872",6%,40.733,"$26,906 ","1,685",2%,"2,092.71","5,187",23%,8.089
Perkins County,"2,102",91%,0.801,"$25,458 ",.,.,.,"2,102",91%,0.801
Potter County,.,.,1.978,"$26,923 ",.,.,.,.,.,1.978
Roberts County,"3,555",41%,7.784,"$22,674 ",.,.,.,"3,555",41%,7.784
Sanborn County,139,9%,2.803,"$27,076 ",.,.,.,139,9%,2.803
Shannon County,407,3%,6.731,"$9,226 ",.,.,"2,778.29",407,4%,5.25
Spink County,12,0%,3.503,"$27,971 ",.,.,.,12,0%,3.503
Stanley County,362,13%,1.97,"$30,188 ",153,8%,"1,019.53",209,21%,0.69
Sully County,.,.,1.106,"$36,707 ",.,.,.,.,.,1.106
Todd County,445,4%,7.24,"$11,101 ",.,.,.,445,4%,7.24
Tripp County,.,.,2.769,"$24,308 ",.,.,"1,456.50",.,.,1.191
Turner County,769,11%,11.518,"$26,263 ",.,.,.,769,11%,11.518
Union County,"4,168",27%,33.919,"$37,326 ",637,10%,"1,184.77","3,531",39%,19.661
Walworth County,35,1%,6.617,"$27,095 ",.,.,"1,882.50",35,2%,2.062
Yankton County,"2,503",11%,44.923,"$26,831 ",331,2%,"2,952.10","2,172",30%,13.904
Ziebach County,"2,455",89%,1.414,"$12,764 ",803,100%,"1,159.33","1,652",84%,1.005
Tennessee,"834,545",13%,160.29,.,"106,128",2%,"1,528.99","728,417",34%,56.551
Anderson County,"2,839",4%,231.583,"$25,353 ","1,207",2%,"1,150.01","1,632",6%,91.3
Bedford County,"13,336",28%,101.684,"$19,855 ",.,.,"1,630.10","13,336",51%,56.926
Benton County,"9,615",62%,39.115,"$19,168 ",.,.,830.945,"9,615",80%,30.915
Bledsoe County,"12,449",99%,31.044,"$16,631 ",.,.,.,"12,449",99%,31.044
Blount County,"3,499",3%,233.717,"$24,507 ",243,0%,987.752,"3,256",8%,90.923
Bradley County,"3,632",3%,315.973,"$22,294 ",.,.,"1,309.21","3,632",11%,123.575
Campbell County,"6,104",15%,84.827,"$17,242 ",443,2%,935.851,"5,661",25%,48.243
Cannon County,"14,265",99%,54.213,"$20,974 ","2,642",97%,"1,864.36","11,623",100%,44.176
Carroll County,"8,039",30%,44.262,"$19,461 ",.,.,"1,274.17","8,039",37%,36.563
Carter County,"4,407",8%,168.111,"$19,385 ",103,0%,977.47,"4,304",18%,76.25
Cheatham County,"6,239",16%,133.079,"$23,730 ",801,11%,964.976,"5,438",16%,112.321
Chester County,"8,401",49%,60.118,"$19,059 ",.,.,"1,324.69","8,401",76%,39.426
Claiborne County,"15,537",47%,75.473,"$18,322 ","2,165",23%,936.759,"13,372",57%,55.346
Clay County,"1,393",18%,31.851,"$16,802 ",.,.,.,"1,393",18%,31.851
Cocke County,"12,513",35%,82.197,"$18,113 ",146,1%,"1,183.96","12,367",51%,56.694
Coffee County,"8,780",16%,126.798,"$21,123 ",.,.,"1,265.49","8,780",34%,63.242
Crockett County,"4,498",33%,51.944,"$19,270 ",.,.,"1,147.14","4,498",49%,34.948
Cumberland County,"25,770",44%,86.746,"$21,674 ",378,2%,847.62,"25,392",71%,54.808
Davidson County,"26,125",4%,"1,306.13","$28,971 ","25,681",4%,"2,159.23",444,2%,105.066
Decatur County,"5,221",48%,32.305,"$23,760 ",.,.,.,"5,221",48%,32.305
DeKalb County,"4,516",24%,62.235,"$22,451 ",172,4%,"1,312.55","4,344",29%,48.994
Dickson County,"12,720",25%,103.467,"$22,191 ",298,2%,951.153,"12,422",36%,72.612
Dyer County,"3,478",9%,74.296,"$22,925 ",314,1%,"1,335.82","3,164",20%,32.55
Fayette County,"8,707",21%,59.066,"$28,946 ",270,3%,"1,135.04","8,437",26%,46.073
Fentress County,"1,354",7%,37.137,"$16,283 ",.,.,.,"1,354",7%,37.137
Franklin County,"9,146",23%,70.509,"$23,099 ",422,4%,713.957,"8,724",32%,50.626
Gibson County,"12,624",25%,82.644,"$20,189 ","3,860",15%,"1,497.37","8,764",37%,40.909
Giles County,"14,201",51%,45.367,"$20,182 ",.,.,"1,378.17","14,201",69%,33.813
Grainger County,"8,103",35%,82.434,"$18,475 ",.,.,.,"8,103",35%,82.434
Greene County,"3,973",6%,111.16,"$19,998 ",723,3%,923.444,"3,250",7%,75.34
Grundy County,"2,131",17%,35.325,"$15,581 ",.,.,.,"2,131",17%,35.325
Hamblen County,"1,151",2%,400.419,"$20,675 ",100,0%,"1,038.06","1,051",8%,122.979
Hamilton County,"4,857",1%,641.855,"$27,464 ","3,097",1%,"1,385.71","1,760",5%,110.525
Hancock County,"5,253",81%,29.064,"$15,464 ",.,.,.,"5,253",81%,29.064
Hardeman County,"13,482",53%,38.163,"$14,954 ",141,3%,"1,004.78","13,341",65%,30.888
Hardin County,"9,200",37%,43.25,"$20,949 ",.,.,"1,061.17","9,200",55%,29.446
Hawkins County,"15,896",28%,118.324,"$21,259 ",153,1%,988.497,"15,743",47%,71.775
Haywood County,"5,473",32%,32.322,"$18,998 ",11,0%,"1,619.55","5,462",69%,14.952
Henderson County,"9,721",35%,53.579,"$19,847 ",.,.,"1,110.29","9,721",46%,41.187
Henry County,"4,463",14%,55.764,"$21,941 ",.,.,"1,032.67","4,463",21%,37.722
Hickman County,"15,465",65%,39.058,"$18,147 ",.,.,.,"15,465",65%,39.058
Houston County,"8,129",99%,41.176,"$19,230 ",.,.,.,"8,129",99%,41.176
Humphreys County,"10,951",61%,33.581,"$21,883 ",137,4%,829.534,"10,814",74%,27.901
Jackson County,"1,099",10%,36.65,"$18,452 ",.,.,.,"1,099",10%,36.65
Jefferson County,"16,564",30%,198.163,"$21,603 ",227,1%,828.932,"16,337",51%,130.34
Johnson County,"1,165",7%,59.935,"$17,273 ",.,.,880.758,"1,165",8%,51.694
Knox County,"8,579",2%,906.313,"$28,255 ","6,661",2%,"1,576.92","1,918",4%,200.672
Lake County,"3,204",44%,43.707,"$11,875 ",.,.,.,"3,204",44%,43.707
Lauderdale County,"9,580",35%,57.969,"$15,715 ",137,1%,"1,004.27","9,443",60%,34.356
Lawrence County,"21,899",54%,65.947,"$19,298 ",.,.,"1,071.12","21,899",71%,50.824
Lewis County,"4,680",39%,42.004,"$17,962 ",.,.,948.416,"4,680",56%,29.854
Lincoln County,"9,764",29%,58.995,"$21,686 ",2,0%,941.977,"9,762",40%,43.698
Loudon County,"3,965",8%,224.269,"$28,191 ",8,0%,922.861,"3,957",19%,105.263
McMinn County,"15,867",31%,120.667,"$20,615 ",971,5%,"1,017.88","14,896",47%,77.066
McNairy County,"12,651",50%,45.338,"$17,516 ",62,2%,805.666,"12,589",58%,38.971
Macon County,"13,880",61%,74.034,"$17,386 ",63,1%,"1,158.97","13,817",76%,59.824
Madison County,"3,674",4%,177.988,"$23,398 ",33,0%,"1,417.92","3,641",15%,48.852
Marion County,"3,537",13%,54.641,"$21,127 ",5,0%,"1,047.82","3,532",17%,42.361
Marshall County,"11,505",36%,85.104,"$21,241 ",.,.,"1,461.69","11,505",54%,57.603
Maury County,"5,384",6%,143.165,"$23,259 ",113,0%,"1,271.58","5,271",15%,63.464
Meigs County,"6,504",57%,58.886,"$18,465 ",.,.,.,"6,504",57%,58.886
Monroe County,"16,347",35%,73.305,"$19,880 ",.,.,959.75,"16,347",46%,57.213
Montgomery County,"11,610",6%,358.851,"$22,867 ","6,374",4%,"1,631.69","5,236",14%,82.84
Moore County,"3,687",57%,50.038,"$25,687 ",.,.,789.845,"3,687",57%,49.972
Morgan County,"19,024",86%,42.301,"$16,927 ",8,33%,437.439,"19,016",86%,42.26
Obion County,"7,893",27%,53.82,"$21,929 ",133,1%,"1,451.92","7,760",43%,33.647
Overton County,"3,913",17%,51.94,"$18,679 ",17,0%,"1,044.77","3,896",20%,44.238
Perry County,"6,042",80%,18.161,"$16,597 ",.,.,.,"6,042",80%,18.161
Pickett County,158,3%,30.12,"$20,590 ",.,.,.,158,3%,30.12
Polk County,"3,507",22%,36.827,"$20,825 ",.,.,.,"3,507",22%,36.827
Putnam County,"4,183",5%,191.454,"$21,470 ",274,1%,"1,066.54","3,909",15%,75.106
Rhea County,"12,001",37%,103.616,"$19,764 ",.,.,"1,164.94","12,001",54%,72.146
Roane County,"12,999",24%,149.905,"$23,478 ","1,207",5%,837.183,"11,792",42%,85.225
Robertson County,"13,965",19%,151.913,"$24,049 ",619,2%,"1,397.63","13,346",35%,84.105
Rutherford County,"14,143",5%,494.1,"$25,057 ","8,375",3%,"1,945.28","5,768",12%,102.343
Scott County,"19,419",88%,41.413,"$17,680 ","4,058",95%,756.59,"15,361",86%,33.744
Sequatchie County,"13,133",88%,55.992,"$22,300 ","4,016",99%,920.437,"9,117",84%,41.485
Sevier County,"8,089",8%,163.632,"$22,125 ",128,0%,"1,014.33","7,961",15%,99.033
Shelby County,"25,402",3%,"1,229.86","$25,913 ","21,726",2%,"2,364.08","3,676",14%,68.534
Smith County,"6,313",32%,61.968,"$21,354 ",28,1%,"1,126.23","6,285",39%,52.066
Stewart County,"4,686",36%,28.696,"$21,598 ",.,.,.,"4,686",36%,28.696
Sullivan County,.,.,384.667,"$24,085 ",.,.,"1,031.41",.,.,135.936
Sumner County,"12,076",7%,334.434,"$28,393 ","2,157",2%,"1,478.19","9,919",20%,110.092
Tipton County,"10,590",16%,143.678,"$23,205 ",784,3%,"1,113.61","9,806",28%,82.46
Trousdale County,"2,843",35%,71.108,"$20,298 ",.,.,.,"2,843",35%,71.108
Unicoi County,"3,367",19%,95.764,"$21,162 ",664,7%,"1,390.58","2,703",33%,45.344
Union County,"3,312",17%,84.813,"$18,053 ",.,.,.,"3,312",17%,84.813
Van Buren County,"2,702",50%,19.94,"$19,945 ",.,.,.,"2,702",50%,19.94
Warren County,"6,552",17%,91.557,"$20,048 ",.,.,"1,174.99","6,552",27%,57.249
Washington County,"3,503",3%,400.288,"$26,083 ",953,1%,"1,175.73","2,550",7%,141.371
Wayne County,"10,972",69%,21.626,"$15,812 ",.,.,.,"10,972",69%,21.626
Weakley County,"12,310",37%,57.486,"$19,516 ",.,.,"1,293.73","12,310",57%,37.997
White County,"7,281",27%,70.947,"$17,529 ",.,.,889.957,"7,281",35%,56.436
Williamson County,"13,201",6%,363.873,"$42,675 ","2,766",2%,"1,654.47","10,435",27%,81.279
Wilson County,"8,165",6%,224.574,"$28,435 ",52,0%,"1,234.47","8,113",17%,94.591
Texas,"2,976,879",11%,103.233,.,"1,216,234",5%,"2,643.59","1,760,645",46%,15.24
Anderson County,"37,585",65%,54.258,"$18,623 ","3,989",22%,"1,089.35","33,596",86%,37.404
Andrews County,389,3%,10.324,"$29,363 ",129,1%,"2,061.22",260,10%,1.744
Angelina County,"18,881",21%,110.822,"$21,521 ","2,804",6%,"1,212.13","16,077",42%,50.489
Aransas County,11,0%,90.692,"$25,906 ",.,.,975.259,11,0%,27.116
Archer County,"3,087",36%,9.527,"$28,250 ",.,.,"1,552.85","3,087",41%,8.429
Armstrong County,863,62%,1.534,"$27,199 ",.,.,.,863,62%,1.534
Atascosa County,"4,831",11%,36.764,"$21,957 ","1,925",11%,"1,635.85","2,906",10%,22.994
Austin County,"25,449",89%,44.465,"$27,490 ","7,206",74%,"1,809.12","18,243",96%,29.649
Bailey County,"6,537",100%,7.906,"$18,082 ","5,001",100%,"2,060.34","1,536",100%,1.863
Bandera County,"20,148",100%,25.473,"$26,900 ",.,.,.,"20,148",100%,25.473
Bastrop County,88,0%,86.697,"$23,605 ",.,.,"1,476.77",88,0%,57.043
Baylor County,46,2%,3.197,"$30,573 ",.,.,.,46,2%,3.197
Bee County,.,.,35.898,"$16,509 ",.,.,"1,476.49",.,.,15.712
Bell County,"39,686",11%,329.238,"$23,335 ","12,013",4%,"2,471.06","27,673",54%,54.967
Bexar County,"3,938",0%,"1,522.72","$24,525 ",93,0%,"3,464.57","3,845",4%,118.803
Blanco County,"7,814",79%,13.943,"$28,113 ",.,.,.,"7,814",79%,13.943
Borden County,371,81%,0.509,"$47,823 ",.,.,.,371,81%,0.509
Bosque County,920,6%,16.418,"$24,290 ",.,.,"1,349.75",920,7%,13.466
Bowie County,"2,842",3%,102.779,"$22,977 ",680,1%,"1,101.05","2,162",7%,38.692
Brazoria County,"88,428",26%,253.422,"$30,134 ","34,661",13%,"2,102.87","53,767",75%,58.602
Brazos County,"28,277",13%,365.298,"$22,243 ","16,198",9%,"2,643.38","12,079",48%,48.757
Brewster County,"2,841",36%,1.293,"$27,095 ",434,8%,"1,241.88","2,407",86%,0.455
Briscoe County,"1,161",100%,1.29,"$22,197 ",.,.,.,"1,161",100%,1.29
Brooks County,492,7%,7.193,"$14,353 ",.,.,"2,252.83",492,23%,2.293
Brown County,"34,869",97%,37.872,"$20,533 ","21,053",99%,"1,258.07","13,816",96%,15.533
Burleson County,"15,373",97%,24.164,"$23,223 ","3,108",86%,"1,181.43","12,265",99%,18.798
Burnet County,"25,330",57%,44.844,"$25,757 ","7,438",38%,"1,362.22","17,892",72%,25.504
Caldwell County,2,0%,68.326,"$20,368 ",.,.,"1,274.61",2,0%,29.967
Calhoun County,"3,034",15%,41.06,"$24,142 ",35,0%,"2,141.30","2,999",33%,17.952
Callahan County,"3,445",26%,14.659,"$22,008 ",73,2%,"1,389.26","3,372",37%,10.304
Cameron County,"31,921",7%,493.901,"$14,898 ","10,369",3%,"2,313.18","21,552",59%,51.016
Camp County,"6,598",52%,64.22,"$18,873 ",368,8%,"1,156.15","6,230",81%,40.136
Carson County,"1,437",28%,5.501,"$27,062 ",18,7%,479.008,"1,419",29%,5.238
Cass County,"11,477",41%,30.028,"$20,534 ",139,2%,732.115,"11,338",54%,22.579
Castro County,"2,961",43%,7.766,"$22,198 ",434,11%,"2,021.84","2,527",87%,3.27
Chambers County,"15,551",42%,62.359,"$30,102 ","7,313",35%,986.964,"8,238",51%,28.311
Cherokee County,"31,172",63%,46.972,"$19,683 ","3,909",22%,"1,400.29","27,263",87%,30.184
Childress County,"5,547",94%,8.501,"$20,982 ","3,762",92%,"1,505.41","1,785",97%,2.66
Clay County,"8,279",95%,8.03,"$25,729 ","2,047",99%,"1,573.50","6,232",93%,6.136
Cochran County,689,31%,2.879,"$18,318 ",.,.,.,689,31%,2.879
Coke County,"2,197",97%,2.495,"$28,741 ",.,.,.,"2,197",97%,2.495
Coleman County,"7,171",100%,5.682,"$21,332 ","3,696",100%,"1,478.31","3,475",100%,2.759
Collin County,"6,259",1%,"1,065.98","$38,575 ",301,0%,"3,166.75","5,958",13%,77.802
Collingsworth County,209,9%,2.57,"$21,594 ",.,.,.,209,9%,2.57
Colorado County,"1,926",10%,19.623,"$24,112 ",.,.,"1,464.75","1,926",17%,12.122
Comal County,"6,362",5%,221.791,"$33,020 ","3,126",5%,"1,503.38","3,236",6%,111.928
Comanche County,"12,711",100%,13.578,"$19,125 ","3,676",100%,"1,493.82","9,035",100%,9.684
Concho County,"3,398",100%,3.454,"$20,503 ",.,.,.,"3,398",100%,3.454
Cooke County,"9,371",26%,41.729,"$25,823 ",539,4%,"1,841.70","8,832",41%,24.62
Coryell County,"27,469",35%,74.478,"$19,410 ","15,829",25%,"2,454.94","11,640",84%,13.528
Cottle County,962,100%,1.068,"$19,813 ",.,.,.,962,100%,1.068
Crane County,"4,199",96%,5.56,"$24,344 ","3,721",96%,"2,905.16",478,99%,0.618
Crockett County,"3,347",100%,1.192,"$24,862 ","2,613",100%,"1,447.54",734,100%,0.262
Crosby County,"1,311",27%,5.297,"$19,740 ",.,.,.,"1,311",27%,5.297
Culberson County,"1,674",100%,0.439,"$16,120 ",.,.,.,"1,674",100%,0.439
Dallam County,"1,276",20%,4.2,"$20,528 ",202,4%,"2,310.85","1,074",89%,0.806
Dallas County,.,.,"2,853.61","$27,195 ",.,.,"3,571.79",.,.,92.723
Dawson County,"1,195",10%,13.56,"$19,725 ",376,4%,"1,987.30",819,51%,1.808
Deaf Smith County,"2,026",10%,13.008,"$17,855 ",22,0%,"2,588.07","2,004",69%,1.953
Delta County,"4,497",100%,17.51,"$20,251 ",.,.,.,"4,497",100%,17.51
Denton County,.,.,858.46,"$34,528 ",.,.,"2,946.48",.,.,78.038
DeWitt County,12,0%,19.211,"$26,104 ",.,.,"1,425.85",12,0%,9.293
Dickens County,"1,515",100%,1.68,"$20,353 ",.,.,.,"1,515",100%,1.68
Dimmit County,"1,057",12%,6.618,"$20,822 ",.,.,"1,435.77","1,057",33%,2.413
Donley County,"1,463",53%,2.987,"$21,264 ",.,.,.,"1,463",53%,2.987
Duval County,"4,951",49%,5.605,"$21,334 ",.,.,"2,217.54","4,951",75%,3.676
Eastland County,"14,238",87%,17.644,"$22,171 ","5,701",88%,"1,588.82","8,537",87%,10.68
Ector County,"33,841",23%,164.055,"$25,726 ","20,570",15%,"2,307.78","13,271",93%,17.014
Edwards County,"1,618",100%,0.764,"$28,407 ",.,.,.,"1,618",100%,0.764
Ellis County,.,.,177.497,"$25,924 ",.,.,"1,353.05",.,.,60.972
El Paso County,"10,332",1%,852.413,"$18,705 ","6,155",1%,"3,580.14","4,177",25%,21.519
Erath County,"7,508",19%,35.71,"$21,306 ","3,414",16%,"2,039.42","4,094",23%,16.586
